Age,Ville,Sexe,Votre spécialité en 2 BAC,Note d'examen Nationale,Note d'examen Régional,Note Générale,Votre niveau en Français,Votre niveau en Anglais,Votre Loisirs,Votre matière préférée,Votre matière détestée,Votre Soft Skills,Spécialité,"Sur une échelle de 1 à 10, comment évalueriez-vous votre performance dans cette spécialité ?","Sur une échelle de 1 à 10, comment évalueriez vous votre satisfaction par rapport à votre choix de spécialité ?"
33,Mrirt,Femme,Sciences Physiques,12,10,11,Avancé,Intermédiaire,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Chimie,10,4
19,Salé,Homme,Sciences de la Vie et de la Terre,"9,06","13,85","11,44",Intermédiaire,Avancé,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Histoire,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique",Biologie,4,2
19,Fes,Femme,Sciences Physiques,"12,01","16,97","14,1",Avancé,Intermédiaire,"Lecture, Musique, Voyage, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Communication, Adaptabilité, Esprit critique",Informatique,7,4
18,Marrakech,Femme,Sciences Physiques,14,"14,6",15,Intermédiaire,Intermédiaire,"Lecture, Voyage, Bénévolat, Technologie (programmation, bricolage électronique, etc.)",Informatique,Biologie,"Adaptabilité, Créativité, Esprit critique",Informatique,4,4
23,Fes,Homme,Sciences Physiques,"13,5","13,5","13,5",Avancé,Intermédiaire,"Sport, Musique, Voyage, Cinéma, Jeux vidéo",Informatique,Biologie,"Empathie, Esprit critique",Physique,7,2
22,Fes,Homme,Sciences Mathématiques,"10,92","13,9","12,65",Intermédiaire,Intermédiaire,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Biologie,"Travail en équipe, Résolution de problèmes, Empathie",Informatique,7,3
19,Salé,Homme,Sciences Physiques,"11,51","15,55",13,Intermédiaire,Avancé,"Voyage, Technologie (programmation, bricolage électronique, etc.), chess",Informatique,Biologie,"Adaptabilité, Résolution de problèmes, Leadership",Informatique,8,5
21,Salé,Homme,Sciences Physiques,"16,4","17,2","16,8",Avancé,Fluent,"Lecture, Musique, Cinéma, Jeux vidéo",Mathématiques,Biologie,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique",Ingénierie,7,4
19,Oujda,Femme,Sciences Physiques,"12,1",13,"12,1",Avancé,Avancé,"Lecture, Sport, Musique, Voyage, Cinéma, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Créativité, Résolution de problèmes, Leadership",Éducation,9,3
23,Rabat,Homme,Sciences Mathématiques,11,14,12,Avancé,Avancé,"Musique, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Biologie,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,9,5
21,Tanger,Femme,Sciences Physiques,"14,28","17,75","19,39",Avancé,Intermédiaire,"Lecture, Voyage, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Mathématiques,Chimie,"Travail en équipe, Adaptabilité, Créativité, Leadership, Autonomie",Ingénierie,8,4
32,Immouzzer kandar,Femme,Sciences Physiques,"12,4",10,"11,8",Avancé,Intermédiaire,"Lecture, Sport, Cuisson",Physique,Chimie,"Résolution de problèmes, Esprit critique",Physique,7,4
22,Tetouan,Homme,Sciences et Technologies Électriques,"16,35",16,"16,35",Fluent,Intermédiaire,"Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Photographie",Sciences d'ingénieur,Chimie,"Travail en équipe, Créativité, Résolution de problèmes, Leadership",Ingénierie,9,5
20,Fes,Femme,Sciences Mathématiques,13,"17,9","15,36",Avancé,Avancé,"Lecture, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Biologie,Histoire,"Communication, Gestion du temps, Adaptabilité, Leadership, Empathie, Esprit critique, Autonomie",Médecine,8,5
19,Salé ,Homme,Sciences Physiques,"11,61","17,45","13,76",Avancé,Avancé,Sport,Biologie,Histoire,"Adaptabilité, Créativité, Résolution de problèmes, Autonomie",Médecine,7,4
31,Meknes,Femme,Sciences Physiques,"17,4","13,4","16,11",Avancé,Intermédiaire,Dormir,Chimie,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Empathie, Autonomie",Chimie,8,4
19,Fes,Femme,Sciences Physiques,"12,14","14,43","14,02",Intermédiaire,Avancé,"Lecture, Musique, Cinéma",Informatique,Histoire,Communication,Informatique,5,3
31,El Hajeb,Femme,Sciences de la Vie et de la Terre,14,12,13,Intermédiaire,Débutant,"Lecture, Musique, Cinéma",Informatique,Histoire,Travail en équipe,Biologie,5,2
20,Midelt,Femme,Sciences Physiques,"15,37","15,95","15,77",Avancé,Intermédiaire,"Lecture, Musique, Voyage",Informatique,Histoire,Résolution de problèmes,Réseau,9,4
20,Berkane,Femme,Sciences Physiques,"12,82","17,66","15,5",Avancé,Débutant,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Informatique,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Autonomie",Informatique,8,5
20,Fes,Homme,Sciences et Technologies Électriques,"15,76","16,55","15,75",Avancé,Avancé,"Sport, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Histoire,"Gestion du temps, Leadership",Informatique,8,5
24,Rabat,Femme,Sciences Physiques,"15,01","16,31","15,51",Avancé,Intermédiaire,"Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Technologie (programmation, bricolage électronique, etc.)",Informatique,Histoire,"Communication, Travail en équipe, Gestion du temps, Créativité, Leadership",Economie,8,5
22,Fes,Femme,Sciences Physiques,"16,77","15,65","16,67",Avancé,Avancé,"Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Photographie",Mathématiques,Histoire,"Travail en équipe, Gestion du temps, Créativité, Autonomie",Ingénierie,9,5
21,Salé,Femme,Sciences Physiques,"16,7","17,85",17,Fluent,Avancé,"Lecture, Musique, Voyage, Cinéma, Bénévolat",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Leadership, Autonomie",Ingénierie,10,5
24,Rabat,Femme,Sciences Physiques,"16,98","13,9","16,14",Avancé,Avancé,"Lecture, Musique, Voyage, Cinéma, Jeux vidéo, Bénévolat, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Ingénierie,10,5
20,Berkane,Femme,Sciences Physiques,"13,58","13,9","14,58",Intermédiaire,Intermédiaire,"Lecture, Sport",Mathématiques,Histoire,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Informatique,5,4
24,Fes,Femme,Sciences Physiques,"15,84","11,08","14,65",Intermédiaire,Intermédiaire,"Lecture, Sport, Musique, Voyage, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Histoire,"Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Empathie",Ingénierie,8,4
38,Sidi kacem,Homme,Sciences de Gestion Comptable,"11,21","14,1",12,Avancé,Avancé,"Sport, Voyage",Mathématiques,Histoire,"Communication, Créativité, Résolution de problèmes, Leadership",Economie,9,2
21,Rabat,Femme,Sciences Mathématiques,"12,75","16,17","14,75",Avancé,Intermédiaire,"Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Photographie",Mathématiques,Histoire,"Communication, Travail en équipe, Gestion du temps, Créativité, Leadership",Ingénierie,8,4
23,Ouazzane,Homme,Sciences Physiques,"18,03","13,5","16,81",Intermédiaire,Intermédiaire,"Lecture, Musique",Physique,Histoire,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Esprit critique, Autonomie",Ingénierie,8,5
21,Sidi slimane,Homme,Sciences Physiques,"16,97","17,45","17,24",Avancé,Avancé,Sport,Physique,Histoire,"Communication, Adaptabilité, Créativité, Résolution de problèmes",Ingénierie,8,4
24,Temara,Homme,Sciences Physiques,14,10,12,Intermédiaire,Intermédiaire,"Technologie (programmation, bricolage électronique, etc.),",Informatique,Biologie,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership",Informatique,7,5
20,Meknes,Homme,Sciences Physiques,"14,27","15,2","15,58",Intermédiaire,Intermédiaire,"Lecture, Musique, Jeux vidéo",Informatique,Langues,"Adaptabilité, Empathie, Autonomie",Informatique,8,5
21,Taourirt,Homme,Sciences Physiques,14,15,15,Avancé,Intermédiaire,"Sport, Jeux vidéo",Informatique,Langues,"Adaptabilité, Créativité, Résolution de problèmes",Informatique,7,4
19,Meknes,Homme,Sciences Physiques,"15,14","13,5","15,04",Intermédiaire,Débutant,"Sport, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Informatique,Langues,"Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes",Informatique,6,4
29,Azrou,Femme,Sciences Physiques,"15,15","13,25","15,37",Intermédiaire,Débutant,"Sport, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Ecriture",Mathématiques,Langues,"Communication, Gestion du temps",Ingénierie,7,4
23,el hajeb,Femme,Sciences Physiques,17,"14,4","16,65",Intermédiaire,Intermédiaire,"Sport, Voyage, Photographie",Physique,Langues,"Travail en équipe, Adaptabilité",Ingénierie,7,4
20,Taza,Homme,Sciences Mathématiques,"14,37","14,3","15,37",Intermédiaire,Avancé,"Lecture, Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Littérature,"Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique, Autonomie",Informatique,8,5
21,Rabat,Homme,Sciences Physiques,"13,16","15,3","14,61",Intermédiaire,Avancé,"Musique, Voyage, Cinéma, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Littérature,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Esprit critique, Autonomie",Informatique,9,5
21,BERKANE,Homme,Sciences Physiques,"15,57","15,5","15,54",Avancé,Intermédiaire,Sport,Informatique,Littérature,"Travail en équipe, Adaptabilité",Informatique,7,4
19,Rich,Homme,Sciences Physiques,12,15,14,Intermédiaire,Intermédiaire,"Sport, Musique, Voyage, Jeux vidéo",Informatique,Littérature,"Travail en équipe, Résolution de problèmes",Informatique,7,5
22,Taroudant,Homme,Sciences Physiques,"16,42","16,92","16,67",Intermédiaire,Intermédiaire,"Sport, Voyage, Bénévolat",Informatique,Littérature,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Informatique,8,5
20,Tetouan,Homme,Sciences Physiques,10,11,"10,27",Intermédiaire,Intermédiaire,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.)",Informatique,Littérature,"Communication, Travail en équipe, Résolution de problèmes",Economie,7,2
23,Béni Mellal,Homme,Lettres,"16,73",16,16,Intermédiaire,Intermédiaire,"Lecture, Sport, Musique, Voyage, Cinéma",Littérature,Littérature,"Travail en équipe, Résolution de problèmes, Esprit critique",Sciences humaines et sociales,7,3
20,salé,Homme,Sciences Économiques,14,13,15,Avancé,Intermédiaire,Sport,Mathématiques,Littérature,Travail en équipe,Economie,8,4
21,TanTan,Homme,Sciences Mathématiques,15,"14,5","15,3",Débutant,Débutant,Sport,Mathématiques,Littérature,Résolution de problèmes,Mathématiques appliquées,6,3
22,Meknes,Homme,Sciences Mathématiques,"12,5","10,5","11,85",Intermédiaire,Intermédiaire,"Sport, Technologie (programmation, bricolage électronique, etc.)",Mathématiques,Littérature,Leadership,Ingénierie,7,4
22,Oujda,Homme,Sciences et Technologies Électriques,"14,34","15,3","14,58",Avancé,Avancé,"Sport, Musique, Jeux vidéo, One piece",Physique,Littérature,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Empathie",Ingénierie,8,4
19,Fes,Homme,Sciences Physiques,"12,66","16,5",15,Intermédiaire,Intermédiaire,"Sport, Musique, Voyage",Physique,Littérature,"Communication, Esprit critique, Autonomie",Informatique,3,2
22,Agadir,Homme,Sciences Physiques,"17,21","17,31","17,15",Intermédiaire,Avancé,"Sport, Musique, Voyage, Cinéma, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Physique,Littérature,"Travail en équipe, Gestion du temps, Créativité, Esprit critique",Informatique,8,4
18,Fes,Homme,Sciences Physiques,"14,48","14,75","14,86",Intermédiaire,Intermédiaire,Jeux vidéo,Biologie,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Esprit critique",Médecine,10,5
31,Fes,Femme,Sciences Mathématiques,"12,5",,"12,5",Fluent,Intermédiaire,"Sport, Jeux vidéo",Informatique,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Leadership, Esprit critique",Informatique,8,4
19,Fes,Homme,Sciences Physiques,"13,5","16,9","14,6",Intermédiaire,Intermédiaire,"Sport, Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Informatique,Mathématiques,"Communication, Travail en équipe, Créativité",Informatique,6,5
22,Oujda,Homme,Sciences Physiques,12,"9,96","12,93",Débutant,Intermédiaire,"Sport, Voyage, Cinéma, Jeux vidéo, Bénévolat, Photographie",Informatique,Mathématiques,"Travail en équipe, Adaptabilité, Esprit critique",Physique,5,1
19,Salé ,Homme,Sciences Économiques,"8,4","13,83","10,9",Intermédiaire,Avancé,"Sport, Musique",Langues,Mathématiques,"Communication, Adaptabilité, Créativité",Langues étrangères,6,2
19,Salé,Homme,Sciences Physiques,9,16,9,Intermédiaire,Avancé,"Lecture, Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Philosophie,Mathématiques,"Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes, Leadership",Informatique,5,4
30,Salé,Femme,Sciences Économiques,15,"6,86","11,45",Intermédiaire,Intermédiaire,Cinéma,Physique,Mathématiques,Résolution de problèmes,Economie,8,4
20,Midelt,Homme,Sciences Physiques,"16,47","16,5","16,7",Avancé,Intermédiaire,"Sport, Voyage, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.)",Physique,Mathématiques,"Communication, Travail en équipe, Gestion du temps, Créativité, Esprit critique",Informatique,7,3
19,Fes,Femme,Sciences Mathématiques,"11,9","18,6","15,42",Fluent,Fluent,"Lecture, Musique, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.), Ecriture, Photographie",Biologie,None,"Communication, Travail en équipe, Adaptabilité, Créativité, Leadership, Esprit critique, Autonomie",Informatique,6,5
21,Salé,Femme,Sciences de la Vie et de la Terre,"15,14","17,2","16,4",Avancé,Avancé,"Sport, Voyage, Bénévolat, Photographie",Biologie,None,"Travail en équipe, Adaptabilité, Empathie",Biologie,8,4
19,Fes,Femme,Sciences Physiques,"10,49","14,8","13,27",Intermédiaire,Débutant,"Lecture, Musique, Voyage",Comptabilité,None,"Communication, Travail en équipe, Esprit critique",Economie,5,3
20,Fes,Homme,Sciences Physiques,"14,5","15,5",15,Intermédiaire,Intermédiaire,"Lecture, Sport",Informatique,None,"Travail en équipe, Résolution de problèmes, Esprit critique",Informatique,8,5
20,Casa,Homme,Sciences Mathématiques,13,11,13,Intermédiaire,Avancé,"Lecture, Technologie (programmation, bricolage électronique, etc.)",Informatique,None,"Travail en équipe, Leadership",Informatique,7,5
20,Taza,Femme,Sciences Physiques,"15,78","17,4","16,62",Avancé,Avancé,"Sport, Technologie (programmation, bricolage électronique, etc.)",Informatique,None,"Communication, Créativité, Résolution de problèmes",Informatique,9,5
18,Fes,Femme,Sciences Physiques,"13,56","16,2","15,33",Avancé,Intermédiaire,"Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.)",Informatique,None,"Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Informatique,7,5
31,Casablanca,Homme,Lettres,14,9,12,Intermédiaire,Fluent,"Lecture, Sport, Musique, Photographie",Langues,None,"Communication, Adaptabilité, Créativité, Autonomie",Langues étrangères,8,3
31,Sale,Homme,Lettres,11,10,11,Intermédiaire,Avancé,"Musique, Voyage",Langues,None,"Travail en équipe, Leadership",Droit,4,3
22,Alhoceima,Femme,Sciences Physiques,"16,63","16,1","16,97",Avancé,Intermédiaire,"Lecture, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.)",Mathématiques,None,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership, Esprit critique",Ingénierie,7,4
19,Fes,Femme,Sciences et Technologies Mécaniques,13,"14,7",13,Avancé,Avancé,"Lecture, Musique, Voyage, Technologie (programmation, bricolage électronique, etc.), Photographie",Mathématiques,None,"Communication, Travail en équipe, Créativité, Résolution de problèmes, Leadership",Ingénierie,8,5
22,Mohammedia,Femme,Sciences Physiques,"15,6","13,6","15,64",Intermédiaire,Intermédiaire,"Lecture, Sport, Voyage, Arts plastiques (peinture, dessin, sculpture, etc.)",Mathématiques,None,"Adaptabilité, Créativité",Physique,5,2
26,Fes,Homme,Sciences Physiques,"14,52","13,9","14,77",Fluent,Avancé,"Sport, Voyage, Jeux vidéo, Bénévolat",Mathématiques,None,"Travail en équipe, Gestion du temps, Adaptabilité, Résolution de problèmes, Leadership, Autonomie",Ingénierie,9,4
20,Rabat,Femme,Sciences Physiques,17,18,18,Avancé,Intermédiaire,"Lecture, Arts plastiques (peinture, dessin, sculpture, etc.), Bénévolat, Ecriture","Mathématiques,Littérature,Langues,Histoire",None,"Adaptabilité, Créativité, Résolution de problèmes, Esprit critique, Autonomie",Ingénierie,7,4
24,Fes,Femme,Sciences Physiques,"19,21","17,75","18,6",Intermédiaire,Débutant,"Lecture, Ecriture",Biologie,None,"Communication, Travail en équipe, Adaptabilité, Résolution de problèmes, Empathie",Médecine,8,5
20,Fes,Homme,Sciences Mathématiques,"9,31","17,5","13,27",Avancé,Avancé,"Lecture, Sport, Musique, Voyage, Cinéma, Jeux vidéo, Arts plastiques (peinture, dessin, sculpture, etc.), Technologie (programmation, bricolage électronique, etc.), Ecriture, Photographie",Physique,None,"Adaptabilité, Résolution de problèmes, Esprit critique, Autonomie",Ingénierie,2,5
22,Rabat,Homme,Sciences Physiques,"16,02","10,65","14,38",Avancé,Intermédiaire,"Lecture, Voyage, Cinéma",Physique,None,"Communication, Travail en équipe, Esprit critique",Physique,9,5
23,Fes,Femme,Sciences Physiques,"16,49","17,68","17,06",Fluent,Intermédiaire,"Musique, Voyage",Physique,None,"Communication, Travail en équipe, Gestion du temps, Leadership, Autonomie",Ingénierie,9,5
19,Salé,Homme,Sciences Physiques,11,15,13,Avancé,Fluent,"Technologie (programmation, bricolage électronique, etc.)",Physique,None,"Communication, Travail en équipe, Gestion du temps, Adaptabilité, Créativité, Résolution de problèmes, Leadership, Esprit critique",Physique,8,4
30,Elhajeb,Femme,Sciences de la Vie et de la Terre,11,12,11,Intermédiaire,Débutant,"Lecture, Voyage, Photographie, Cuisson",Biologie,Physique,"Adaptabilité, Empathie, Ecoute,Gestion du stress",Éducation,6,1
28,Rabat,Femme,Sciences Physiques,14,16,14,Avancé,Intermédiaire,"Sport, Voyage, Bénévolat, Photographie",Biologie,Physique,"Communication, Créativité, Résolution de problèmes, Empathie",Biologie,6,3
20,Fes,Homme,Sciences Physiques,"14,05","10,75","14,5",Intermédiaire,Avancé,"Musique, Jeux vidéo, Technologie (programmation, bricolage électronique, etc.), Photographie",Informatique,Physique,"Résolution de problèmes, Esprit critique",Informatique,9,5
22,Marrakech,Homme,Sciences Physiques,12,"15,25","13,71",Intermédiaire,Avancé,"Sport, Voyage, Technologie (programmation, bricolage électronique, etc.)",Informatique,Physique,"Adaptabilité, Créativité, Résolution de problèmes",Informatique,4,5
25,Fes,Femme,Sciences Physiques,"12,2","14,85","11,6",Intermédiaire,Débutant,"Arts plastiques (peinture, dessin, sculpture, etc.)",Langues,Physique,Créativité,Arts et design,7,5
22,Rabat,Homme,Sciences Physiques,12,12,"12,64",Intermédiaire,Avancé,"Musique, Voyage, Jeux vidéo, Bénévolat, Photographie",Langues,Physique,"Communication, Travail en équipe, Leadership",Economie,7,5
19,Salé,Homme,Sciences Physiques,10,17,13,Intermédiaire,Débutant,"Sport, Musique, Voyage, Bénévolat",Marketing,Physique,"Communication, Travail en équipe, Gestion du temps, Adaptabilité",Economie,5,5
43,Meknes,Homme,Lettres,10,12,"11,82",Avancé,Intermédiaire,"Lecture, Sport, Musique, Voyage, Cinéma, Photographie",Philosophie et littérature,Toutes les matières scientifiques,"Communication, Travail en équipe, Adaptabilité, Créativité, Résolution de problèmes",Sciences humaines et sociales,8,5